neighbourhood_group,neighbourhood
Ballard,Adams
Ballard,Loyal Heights
Ballard,Sunset Hill
Ballard,West Woodland
Ballard,Whittier Heights
Beacon Hill,Holly Park
Beacon Hill,Mid-Beacon Hill
Beacon Hill,North Beacon Hill
Beacon Hill,South Beacon Hill
Capitol Hill,Broadway
Capitol Hill,Madison Park
Capitol Hill,Montlake
Capitol Hill,Portage Bay
Capitol Hill,Stevens
Cascade,Eastlake
Cascade,South Lake Union
Cascade,Westlake
Central Area,Atlantic
Central Area,Harrison/Denny-Blaine
Central Area,Leschi
Central Area,Madrona
Central Area,Mann
Central Area,Minor
Delridge,Highland Park
Delridge,High Point
Delridge,North Delridge
Delridge,Riverview
Delridge,Roxhill
Delridge,South Delridge
Downtown,Belltown
Downtown,Central Business District
Downtown,First Hill
Downtown,International District
Downtown,Pike-Market
Downtown,Pioneer Square
Downtown,Yesler Terrace
Interbay,Interbay
Lake City,Cedar Park
Lake City,Matthews Beach
Lake City,Meadowbrook
Lake City,Olympic Hills
Lake City,Victory Heights
Magnolia,Briarcliff
Magnolia,Lawton Park
Magnolia,Southeast Magnolia
Northgate,Haller Lake
Northgate,Maple Leaf
Northgate,North College Park
Northgate,Pinehurst
Other neighborhoods,Bitter Lake
Other neighborhoods,Broadview
Other neighborhoods,Bryant
Other neighborhoods,Crown Hill
Other neighborhoods,Fremont
Other neighborhoods,Georgetown
Other neighborhoods,Green Lake
Other neighborhoods,Greenwood
Other neighborhoods,Harbor Island
Other neighborhoods,Industrial District
Other neighborhoods,Laurelhurst
Other neighborhoods,North Beach/Blue Ridge
Other neighborhoods,Phinney Ridge
Other neighborhoods,Ravenna
Other neighborhoods,Roosevelt
Other neighborhoods,Sand Point
Other neighborhoods,South Park
Other neighborhoods,View Ridge
Other neighborhoods,Wallingford
Other neighborhoods,Wedgwood
Other neighborhoods,Windermere
Queen Anne,East Queen Anne
Queen Anne,Lower Queen Anne
Queen Anne,North Queen Anne
Queen Anne,West Queen Anne
Rainier Valley,Brighton
Rainier Valley,Columbia City
Rainier Valley,Dunlap
Rainier Valley,Mount Baker
Rainier Valley,Rainier Beach
Rainier Valley,Rainier View
Seward Park,Seward Park
University District,University District
West Seattle,Alki
West Seattle,Arbor Heights
West Seattle,Fairmount Park
West Seattle,Fauntleroy
West Seattle,Gatewood
West Seattle,Genesee
West Seattle,North Admiral
West Seattle,Seaview
